particle_count,dataset_id,domain_side,coverage,radius,strategy,bounding_volume_checks,primitive_checks,tree_height,total_aabb_area
25,0,39.633272976060105,0.05,1.0,top_down,44,2,5,3814.961289662602
25,0,39.633272976060105,0.05,1.0,bottom_up,31,2,6,3428.3777441932816
25,0,39.633272976060105,0.05,1.0,incremental,38,2,7,4199.271843230745
25,1,39.633272976060105,0.05,1.0,top_down,53,3,5,4898.352830920232
25,1,39.633272976060105,0.05,1.0,bottom_up,16,3,6,3538.4904968891874
25,1,39.633272976060105,0.05,1.0,incremental,16,3,6,3691.1648461575355
25,2,39.633272976060105,0.05,1.0,top_down,43,3,5,4815.873363715199
25,2,39.633272976060105,0.05,1.0,bottom_up,30,3,6,4129.713522615309
25,2,39.633272976060105,0.05,1.0,incremental,20,3,7,4039.318383026716
25,3,39.633272976060105,0.05,1.0,top_down,36,2,5,4763.008717368968
25,3,39.633272976060105,0.05,1.0,bottom_up,33,2,6,4265.941751899356
25,3,39.633272976060105,0.05,1.0,incremental,22,2,7,4242.672612452698
25,4,39.633272976060105,0.05,1.0,top_down,36,2,5,4979.3243942966365
25,4,39.633272976060105,0.05,1.0,bottom_up,16,2,6,4120.973252996825
25,4,39.633272976060105,0.05,1.0,incremental,14,2,6,4162.839324489557
25,5,39.633272976060105,0.05,1.0,top_down,55,4,5,4989.579503725977
25,5,39.633272976060105,0.05,1.0,bottom_up,26,4,6,3425.7798587032
25,5,39.633272976060105,0.05,1.0,incremental,26,4,7,3917.9253487529586
25,6,39.633272976060105,0.05,1.0,top_down,29,2,5,4579.977152974664
25,6,39.633272976060105,0.05,1.0,bottom_up,20,2,7,4047.4833978749925
25,6,39.633272976060105,0.05,1.0,incremental,29,2,7,4834.61786176884
25,7,39.633272976060105,0.05,1.0,top_down,44,5,5,4379.541132201576
25,7,39.633272976060105,0.05,1.0,bottom_up,23,5,7,3534.3928560763734
25,7,39.633272976060105,0.05,1.0,incremental,20,5,8,3760.4802789540445
25,8,39.633272976060105,0.05,1.0,top_down,21,3,5,4947.738279220664
25,8,39.633272976060105,0.05,1.0,bottom_up,17,3,6,4192.745968641608
25,8,39.633272976060105,0.05,1.0,incremental,14,3,7,4397.590274104404
25,9,39.633272976060105,0.05,1.0,top_down,32,3,5,5254.344008151732
25,9,39.633272976060105,0.05,1.0,bottom_up,20,3,8,4654.258372169752
25,9,39.633272976060105,0.05,1.0,incremental,18,3,6,4509.841235344578
25,10,39.633272976060105,0.05,1.0,top_down,32,1,5,4680.496719331257
25,10,39.633272976060105,0.05,1.0,bottom_up,22,1,7,4190.699646803802
